,Object Number,image_path,Culture Area,Culture,Date Made,Description,Materials,Object Title,Period,Provenience,Section
2993,40-13-110,images/40-13-110.jpg,Central American,Cocle,four,No description available,Gold,Chisel,Geometric Period,Panama | Sitio Conte,American
2994,40-13-111,images/40-13-111.jpg,Central American,Cocle,four,No description available,Gold,Chisel,Geometric Period,Panama | Sitio Conte,American
2995,40-13-113,images/40-13-113.jpg,Central American,Cocle,four,Tooth fragmentary.,Gold | Whale Tooth,Whale Tooth Cap,Geometric Period,Panama | Sitio Conte,American
2996,40-13-114,images/40-13-114.jpg,Central American,Cocle,750-1000 CE,No description available,Gold,Whale Tooth Pendant,Geometric Period,Panama | Sitio Conte,American
2997,40-13-116,images/40-13-116.jpg,Central American,Cocle,four,Tooth fragmentary,Gold | Ivory,Whale Tooth Cap,Geometric Period,Panama | Sitio Conte,American
2998,40-13-117,images/40-13-117.jpg,Central American,Cocle,four,Most of tooth missing.,Gold | Ivory,Whale Tooth Cap,Geometric Period,Panama | Sitio Conte,American
2999,40-13-118,images/40-13-118.jpg,Central American,Cocle,one,"Carved figurine of whale-tooth ivory with gold onlay in shape of anthropomorphic animal with crocodile or jaguar face seated on long pointed base. Gold onlay crest, nose, ears, one eye, upper and lower limbs. Curvilinear design on gold on crest and limbs show claws/fingers. Figure much eroded but gold apparently quite pure and uncorroded.",Gold | Whale Bone,Pendant,Mousterian,Panama | Sitio Conte,American
3000,40-13-119,images/40-13-119.jpg,Central American,Cocle,four,Jaguar (?) figure molded of resin with head turned to one side. Very large gold onlay on all four feet and large tail. Suspension hole on left foreleg for vertical hanging.,Gold | Wood | Gum,Pendant,Geometric Period,Panama | Sitio Conte,American
3001,40-13-121,images/40-13-121.jpg,Central American,Cocle,four,"Carved figurine of whale-tooth ivory with gold onlay in shape of seated human figure on long pointed base. V shaped element connects hands with mouth. Gold onlay on upper limbs (showing hands), feet (showing toes), ears, and crown. Probably once also on eyes and nose, but now missing. Figure much eroded (especially face) but gold apparently quite pure and uncorroded.",Gold | Wood,Pendant,Geometric Period,Panama | Sitio Conte,American
3002,40-13-122,images/40-13-122.jpg,Central American,Cocle,40,"Animal Figurine - Small carved figurine of whale-tooth ivory with gold onlay, in shape of anthropomorphic animal with crest on head and four paws. Prominent teeth. Gold onlay on paws (showing fingers or claws) and crest. Probably once also on eyes and nose but now missing. Figure much eroded, but gold apparently quite pure and uncorroded. (See 40-13-123)",Gold | Tooth,Figurine,Geometric Period,Panama | Sitio Conte,American
3003,40-13-123,images/40-13-123.jpg,Central American,Cocle,40,"Small carved figurine of whale-tooth ivory with gold onlay in shape of anthropomorphic animal with crest on head and three paws. Prominent teeth. Gold onlay on paws (showing fingers or claws) and crest. Probably once on eyes and nose but now missing. Figure much eroded, but gold apparently quite pure and uncorroded. (See 40-13-122)",Gold | Tooth,Figurine,Geometric Period,Panama | Sitio Conte,American
3004,40-13-126,images/40-13-126.jpg,Central American,Cocle,four,"Standing human figure with pack on back; left hand on right shoulder, right hand below waist. Face damaged. Gold onlay headdress, arms and hands, feet.",Gold | Wood,Figurine,Geometric Period,Panama | Sitio Conte,American
3005,40-13-127,images/40-13-127.jpg,Central American,Cocle,four,Bird with gold onlay wings.,Gold | Wood | Resin (material),Figurine,Geometric Period,Panama | Sitio Conte,American
3006,40-13-13,images/40-13-13.jpg,Central American,Cocle,four,Each with six small bosses around a central larger boss; each with four pierced holes for attachment.,Gold,Disc,Geometric Period,Panama | Sitio Conte,American
3007,40-13-133,images/40-13-133.jpg,Central American,Cocle,four,Both are crocodiles (?) with gold onlay feet.,Gold | Tooth,Figurine,Geometric Period,Panama | Sitio Conte,American
3008,40-13-134,images/40-13-134.jpg,Central American,Cocle,four,"Probably of whale-tooth ivory. Fragmentary. Probably human or anthropomorphic. Short legs with gold onlay feet. Short arms with gold onlay paws. Upper torso and head missing. Sash [?] with carved decoration hangs down back from waist. Stands on base probably originally long and tapering to point, now mostly missing.",Gold | Stone,Figurine,Geometric Period,Panama | Sitio Conte,American
3009,40-13-137,images/40-13-137.jpg,Central American,Cocle,4,The sequin is flat and square with 4 holes. [in envelope],Gold,Bead,Upper Paleolithic,Panama | Sitio Conte,American
3010,40-13-144A,images/40-13-144A.jpg,Central American,Cocle,four,Feet from animal figure.,Gold,Sheathing,Geometric Period,Panama | Sitio Conte,American
3011,40-13-144B,images/40-13-144B.jpg,Central American,Cocle,four,Feet from animal figure.,Gold,Sheathing,Geometric Period,Panama | Sitio Conte,American
3012,40-13-144C,images/40-13-144C.jpg,Central American,Cocle,four,Feet from animal figure.,Gold,Sheathing,Geometric Period,Panama | Sitio Conte,American
3013,40-13-144D,images/40-13-144D.jpg,Central American,Cocle,four,Feet from animal figure.,Gold,Sheathing,Geometric Period,Panama | Sitio Conte,American
3014,40-13-149,images/40-13-149.jpg,Central American,Cocle,four,Each with repousse centre and four pierced holes.,Gold,Disc,Geometric Period,Panama | Sitio Conte,American
3015,40-13-15,images/40-13-15.jpg,Central American,Cocle,Four,Each with six small bosses around a central larger boss; each with four pierced holes for attachment. Symmetrical. Not anthropoid. Eyes are of two animals in profile. At top central vertical shaft bifurcates and becomes on either side tail and body of an animal. Both tail and body of same thickness. Each animal has four clawed pair of feet. Large head with great beak with curved end like eagle. Great circular eye. Crests on heads. At base central vertical shaft bifurcates and becomes tail and body of animal on either side. Front and rear four-clawed. Large head with great circular eye and large open mouth with triangular teeth and long caracol tongue. Nose turns up in curve. Ring of spiked ornaments around periphery. Four suspension holes.,Gold,Disc,Bronze Age,Panama | Sitio Conte,American
3016,40-13-150,images/40-13-150.jpg,Central American,Cocle,four,Each with repousee centre and four pierced holes.,Gold,Disc,Geometric Period,Panama | Sitio Conte,American
3017,40-13-151,images/40-13-151.jpg,Central American,Cocle,four,Each with repousee centre and four pierced holes.,Gold,Disc,Geometric Period,Panama | Sitio Conte,American
3018,40-13-153,images/40-13-153.jpg,Central American,Cocle,four,Human head,Gold,Ornament,Geometric Period,Panama | Sitio Conte,American
3019,40-13-154,images/40-13-154.jpg,Central American,Cocle,four,Jaguar head,Gold,Ornament,Geometric Period,Panama | Sitio Conte,American
3020,40-13-155,images/40-13-155.jpg,Central American,Cocle,four,Each is a hand.,Gold,Onlay,Geometric Period,Panama | Sitio Conte,American
3021,40-13-156,images/40-13-156.jpg,Central American,Cocle,four,Each is a hand. Gold Onlays,Gold,Gold Fragment,Geometric Period,Panama | Sitio Conte,American
3022,40-13-157,images/40-13-157.jpg,Central American,Cocle,four,Each is a bird's head.,Gold,Ornament,Geometric Period,Panama | Sitio Conte,American
3023,40-13-159,images/40-13-159.jpg,Central American,Cocle,four,Hemispherical caps with grooved scroll design.,Gold,Onlay,Geometric Period,Panama | Sitio Conte,American
3024,40-13-16,images/40-13-16.jpg,Central American,Cocle,four,Each with six small bosses around a central larger boss; each with four pierced holes for attachment.,Gold,Disc,Geometric Period,Panama | Sitio Conte,American
3025,40-13-160,images/40-13-160.jpg,Central American,Cocle,four,Hemispherical caps with grooved scroll design.,Gold,Onlay,Geometric Period,Panama | Sitio Conte,American
3026,40-13-161,images/40-13-161.jpg,Central American,Cocle,four,Oval caps with grooved scroll design.,Gold,Onlay,Geometric Period,Panama | Sitio Conte,American
3027,40-13-162,images/40-13-162.jpg,Central American,Cocle,four,Oval caps with grooved scroll design.,Gold,Onlay,Geometric Period,Panama | Sitio Conte,American
3028,40-13-163,images/40-13-163.jpg,Central American,Cocle,four,Oval caps with grooved scroll design.,Gold,Onlay,Geometric Period,Panama | Sitio Conte,American
3029,40-13-164,images/40-13-164.jpg,Central American,Cocle,four,Oval caps with grooved scroll design.,Gold,Onlay,Geometric Period,Panama | Sitio Conte,American
3030,40-13-167,images/40-13-167.jpg,Central American,Cocle,four,Crest,Gold,Ornament,Geometric Period,Panama | Sitio Conte,American
3031,40-13-168,images/40-13-168.jpg,Central American,Cocle,four,Foot,Gold,Ornament,Geometric Period,Panama | Sitio Conte,American
3032,40-13-17,images/40-13-17.jpg,Central American,Cocle,four,Each with six small bosses around a central larger boss; each with four pierced holes for attachment.,Gold,Disc,Geometric Period,Panama | Sitio Conte,American
3033,40-13-178,images/40-13-178.jpg,Central American,Cocle,four,Fine filigree workmanship,Gold,Bell,Geometric Period,Panama | Sitio Conte,American
3034,40-13-179.1,images/40-13-179.1.jpg,Central American,Cocle,one,Gold alloy. (.1) One bell has no suspension loop; .2 one is fragmentary.,Gold,Bell,Mousterian,Panama | Sitio Conte,American
3035,40-13-18,images/40-13-18.jpg,Central American,Cocle,four,Each with six small bosses around a central larger boss; each with four pierced holes for attachment.,Gold,Disc,Geometric Period,Panama | Sitio Conte,American
3036,40-13-181,images/40-13-181.jpg,Central American,Cocle,2,Irregular circular; thin; 2 suspension holes. 2 rings of impressed dots.,Gold,Plaque,Early Dynastic,Panama | Sitio Conte,American
3037,40-13-182,images/40-13-182.jpg,Central American,Cocle,2,Irregular circular; thin; 2 suspension holes. 2 rings of impressed dots.,Gold,Plaque,Early Dynastic,Panama | Sitio Conte,American
3038,40-13-183,images/40-13-183.jpg,Central American,Cocle,2,Thin. 2 rings of dots and 2 concentric circles like eyes.,Gold,Disc,Early Dynastic,Panama | Sitio Conte,American
3039,40-13-19,images/40-13-19.jpg,Central American,Cocle,four,Each with six small bosses around a central larger boss; each with four pierced holes for attachment.,Gold,Disc,Geometric Period,Panama | Sitio Conte,American
3040,40-13-198,images/40-13-198.jpg,Central American,Cocle,four,With gold pellet. Surmounted by figure of anthropomorphic armadillo.,Gold,Bell,Geometric Period,Panama | Sitio Conte,American
3041,40-13-2,images/40-13-2.jpg,Central American,Cocle,Two,"Two symmetrical anthropomorphic figures. Quarter turned bodies. Profile heads. Large hands and feet with claw fingers and toes. Prominent navels. Belts with big pendant ornament or tails. Decorative, not physical. Large non-human heads, probably long-billed birds. Bills turned down at ends. Large round eyes. Long crest. Two vertical pairs of suspension holes.",Gold,Plaque,Birnirk,Panama | Sitio Conte,American
3042,40-13-20,images/40-13-20.jpg,Central American,Cocle,four,Each with six small bosses around a central larger boss; each with four pierced holes for attachment.,Gold,Disc,Geometric Period,Panama | Sitio Conte,American
3043,40-13-21,images/40-13-21.jpg,Central American,Cocle,four,Each with six small bosses around a central larger boss; each with four pierced holes for attachment.,Gold,Disc,Geometric Period,Panama | Sitio Conte,American
3044,40-13-213,images/40-13-213.jpg,Central American,Cocle,two,With two pierced holes.,Gold,Plaque,Roman Period,Panama | Sitio Conte,American
3045,40-13-214,images/40-13-214.jpg,Central American,Cocle,two,With two pierced holes.,Gold,Plaque,Roman Period,Panama | Sitio Conte,American
3046,40-13-215,images/40-13-215.jpg,Central American,Cocle,two,With two pierced holes.,Gold,Disc,Roman Period,Panama | Sitio Conte,American
3047,40-13-22,images/40-13-22.jpg,Central American,Cocle,four,Each with six small bosses around a central larger boss; each with four pierced holes for attachment.,Gold,Disc,Geometric Period,Panama | Sitio Conte,American
3048,40-13-226,images/40-13-226.jpg,Central American,Cocle,four,Tiny filigree bat.,Gold,Pendant,Geometric Period,Panama | Sitio Conte,American
3049,40-13-228,images/40-13-228.jpg,Central American,Cocle,four,No description available,Gold,Bell,Geometric Period,Panama | Sitio Conte,American
3050,40-13-23,images/40-13-23.jpg,Central American,Cocle,four,Each with six small bosses around a central larger boss; each with four pierced holes for attachment.,Gold,Disc,Geometric Period,Panama | Sitio Conte,American
3051,40-13-25,images/40-13-25.jpg,Central American,Cocle,four,Each with seven small bosses around a central larger boss; each with four pierced holes for attachment.,Gold,Disc,Geometric Period,Panama | Sitio Conte,American
3052,40-13-26,images/40-13-26.jpg,Central American,Cocle,Four,"Human figure, front view, outspread, symmetrical. Claw finger and toe nails. Spreading headdress. Two symmetrical demonical animals below with tails attached to human waist. Probably long tailed crocodiles. Three short legs each with five-clawed feet, four claws and one opposed. Fourth foot not visible. Long curving spiney tail. Long curving tongue, trident teeth. Nose not crocodilian. Three-element something on nose. Antler-like element on head, ears (?). Beard (?) on chin. Four pair suspension holes.",Gold,Plaque,Bronze Age,Panama | Sitio Conte,American
3053,40-13-27,images/40-13-27.jpg,Central American,Cocle,750-1000 CE,"Shown upside down in grave photo above three plaques and beside object with gold inlay. Jaguar. Large pillow shaped emerald set in back surrounded by four part gold edging. Outer ones continuous, inner ones bead-like. Pair of decorative, sinuous, ""wings"" at back of emerald with loose thin moveable gold leaf attached. Four legs and feet projecting foreward, each with five similar curving claws, plus one beneath upcurving. Head with rude open mouth full of teeth above and below. Two flat tongues from mouth curving back and ending in scroll at neck. Very bulging eyes at top, almost spherical. Blunt nose with nostrils to sides consisting of four vertical fine-wire sections. Pair of short pointed horns (ears?) on top of head. Long raised tail of rectangular section ending in pair of fixed spiked ""wheels."" Between them a third wire with loose thin leaf ornament. Small attached horizontal tube for suspension on chest between front legs.",Gold | Emerald,Pendant,Geometric Period,Panama | Sitio Conte,American
3054,40-13-28,images/40-13-28.jpg,Central American,Cocle,750-1000 CE,Solid. Human figure with conventionalized arms and legs.,Gold,Pendant,Geometric Period,Panama | Sitio Conte,American
3055,40-13-29,images/40-13-29.jpg,Central American,Cocle,Two,"Four similar design elements lengthwise. Each of two profile figures. Head and large foot. Little or no body. Foot of four claws, one opposed. Head with large eye, triangular teeth. Serrated crest. Very elongated curving nose. Queer large extension on back. Two pair of binding holes on cuff.",Gold,Cuff,Birnirk,Panama | Sitio Conte,American
3056,40-13-30,images/40-13-30.jpg,Central American,Cocle,750-1000 CE,Plain.,Gold,Cuff,Geometric Period,Panama | Sitio Conte,American
3057,40-13-33,images/40-13-33.jpg,Central American,Cocle,40-13-80,"Bat with draconic wings. Found with the earrods G-242, 243 (40-13-80 and Conte)",Gold,Pendant,Geometric Period,Panama | Sitio Conte,American
3058,40-13-37,images/40-13-37.jpg,Central American,Cocle,750-1000 CE,"Tubular with ends turned over, i.e., almost closed.",Gold,Beads,Geometric Period,Panama | Sitio Conte,American
3059,40-13-38.1,images/40-13-38.1.jpg,Central American,Cocle,750-1000 CE,"One of 24 tubular beads with ends turned over, i.e., almost closed.",Gold,Belt Bead,Geometric Period,Panama | Sitio Conte,American
3060,40-13-4,images/40-13-4.jpg,Central American,Cocle,750-1000 CE,"Symmetrical. Anthropomorphic figure, front view, arms and legs outstretched. Large roughly square face. Very large mouth with many triangular teeth. Very large oval eyes, two raised rings. Large hooked nostrils. Large, non-human ears with round ear ornaments. Curving horns (?) to either side and central upright plume or ornament. Short neck. Long arms ending in extra broad curve without any evidence of hands or paws--no digits at all. Single hook on shoulders, and line of hooks paralleling arms, waist, legs. Legs also non-human. No feet. Legs turn into thin body of animal, probably commencing with tail, with hooked spikes on upper part. Hind legs with flat feet, four toes. Arms outstretched to both sides; four curving claws. Large open mouth with triangular teeth, depressed nostril vertical projection on snout. Large circular eye. Large horns (?) or feathers or ornament on head, projecting backwards, with several large hooks, Small foreward projection on fore head. Long thin curving tongue, the scroll end of which coalesces with front paw or hand. Two horizontal pairs of suspension holes.",Gold,Plaque,Geometric Period,Panama | Sitio Conte,American
3061,40-13-40,images/40-13-40.jpg,Central American,Cocle,750-1000 CE,Elongated oval or biconical; heavy.,Gold,String of Beads,Geometric Period,Panama | Sitio Conte,American
3062,40-13-41,images/40-13-41.jpg,Central American,Cocle,four,Oval or biconical.,Gold,String of Beads,Geometric Period,Panama | Sitio Conte,American
3063,40-13-44,images/40-13-44.jpg,Central American,Cocle,750-1000 CE,Rings,Gold,Necklace,Geometric Period,Panama | Sitio Conte,American
3064,40-13-45,images/40-13-45.jpg,Central American,Cocle,four,Small rings.,Gold,Necklace,Geometric Period,Panama | Sitio Conte,American
3065,40-13-46,images/40-13-46.jpg,Central American,Cocle,four,Narrow rings.,Gold,Necklace,Geometric Period,Panama | Sitio Conte,American
3066,40-13-47,images/40-13-47.jpg,Central American,Cocle,four,Thin wide rings.,Gold,Necklace,Geometric Period,Panama | Sitio Conte,American
3067,40-13-48,images/40-13-48.jpg,Central American,Cocle,four,"Tubular, with ends turned over, i.e., almost closed.",Gold,Beads,Geometric Period,Panama | Sitio Conte,American
3068,40-13-5,images/40-13-5.jpg,Central American,Cocle,four,Circular. Repousse design: conventualized animal [?] skate,Gold,Plaque,Geometric Period,Panama | Sitio Conte,American
3069,40-13-50,images/40-13-50.jpg,Central American,Cocle,four,Short tubular beads with segmented surface,Gold,Beads,Geometric Period,Panama | Sitio Conte,American
3070,40-13-51,images/40-13-51.jpg,Central American,Cocle,four,Tubular; with tip.,Gold,Ear Rod,Geometric Period,Panama | Sitio Conte,American
3071,40-13-52,images/40-13-52.jpg,Central American,Cocle,750-1000 CE,With tips.,Gold,Ear Rod,Geometric Period,Panama | Sitio Conte,American
3072,40-13-57,images/40-13-57.jpg,Central American,Cocle,four,Stone centres; gold ends and tips.,Gold,Ear Rod,Geometric Period,Panama | Sitio Conte,American
3073,40-13-58,images/40-13-58.jpg,Central American,Cocle,four,Stone centres; gold ends and tips.,Gold,Ear Rod,Geometric Period,Panama | Sitio Conte,American
3074,40-13-6,images/40-13-6.jpg,Central American,Cocle,750-1000 CE,"Slightly bent, Two pairs suspension holes, both arranged vertically, symetrical. Front view anthropomorphic figure, human head and face. Arms an legs outstretched, legs flared. Large human head, flat across top. Large oval eyes with indented horizontal pupil. Nose with large nostrils. Very large oval mouth with trisangular teeth. Large non-human ears with grreat curving ornament. Large branching two headdress-like horns with angular or curving spikes and crescent ends. Large intaglio triangle in breast. Human arms ending in claw fingers and smaller thumb. Legs quasi-human but curving and without knee angle, and of same width throughout. Upside down dragon profile heads in place of human feet, each with two five clawed front paws. Large profile mouth, open and full of triangular teeth. Large round eyes with central intaglio pupils. Curved beak and crest to rear of head. From human knee an element shoots off which may be a creature's leg or tail, ending in flaring enlargement, not in claw. Apparently non-biomorphical spiked elements, spikes angular or curving, fill interstices around upper human leg and around creature's tail.",Gold,Plaque,Geometric Period,Panama | Sitio Conte,American
3075,40-13-606,images/40-13-606.jpg,Central American,Cocle,four,Crocodile,Wood,Figurine,Geometric Period,Panama | Sitio Conte,American
3076,40-13-609,images/40-13-609.jpg,Central American,Cocle,four,Animal. Flat sides; conventionalized head and feet; tail curving above back.,Agate,Animal,Geometric Period,Panama | Sitio Conte,American
3077,40-13-61,images/40-13-61.jpg,Central American,Cocle,four,Upper end with ornamental lip. Battered.,Gold,Ear Rod,Geometric Period,Panama | Sitio Conte,American
3078,40-13-610,images/40-13-610.jpg,Central American,Cocle,four,Conventionalized alligator; drilled hole at end of back.,Agate,Animal,Geometric Period,Panama | Sitio Conte,American
3079,40-13-611,images/40-13-611.jpg,Central American,Cocle,500-1000 CE,Broad-winged.,Agate,Pendant,Geometric Period,Panama | Sitio Conte,American
3080,40-13-613,images/40-13-613.jpg,Central American,Cocle,four,Human with forked pendant tongue; flat headdress projecting over forehead. Broken from something.,Bone,Ornament,Geometric Period,Panama | Sitio Conte,American
3081,40-13-614,images/40-13-614.jpg,Central American,Cocle,four,Representation of lizard head.,Animal Teeth | Gum,Figurine,Geometric Period,Panama | Sitio Conte,American
3082,40-13-615,images/40-13-615.jpg,Central American,Cocle,four,Representation of lizard head.,Animal Teeth | Gum,Figurine,Geometric Period,Panama | Sitio Conte,American
3083,40-13-63,images/40-13-63.jpg,Central American,Cocle,four,Lower closed end.,Gold,Ear Rod,Geometric Period,Panama | Sitio Conte,American
3084,40-13-66,images/40-13-66.jpg,Central American,Cocle,four,Anterior tubular ends. Crushed.,Gold,Ear Rod,Geometric Period,Panama | Sitio Conte,American
3085,40-13-69,images/40-13-69.jpg,Central American,Cocle,four,Lower closed ends.,Gold,Ear Rod,Geometric Period,Panama | Sitio Conte,American
3086,40-13-75,images/40-13-75.jpg,Central American,Cocle,four,"Upper, tubular end.",Gold,Ear Rod,Geometric Period,Panama | Sitio Conte,American
3087,40-13-79,images/40-13-79.jpg,Central American,Cocle,four,Upper open end.,Gold,Ear Rod,Geometric Period,Panama | Sitio Conte,American
3088,40-13-8,images/40-13-8.jpg,Central American,Cocle,one,"Small, thin, bent. Two pair vertical suspension holes near top. Central anthropomorphic figure. Large quasi-rectangular face. Large oblong mouth full of triangular teeth. Large humanistic nose. Large round eyes. Pair of crests or horns. Vertical curving ears or ear ornaments. Uplifted arms ending in pad with one claw. Some sort of protrusion at inner angle of elbow. Short trunk and legs. Legs have two hooks on each upper part, and each connects with back of small animal in profile. Body and feet monkey-like, three and four curved toes. One arm upraised with three curved fingers (?) and thumb. Other arm reversed and unnatural with three long fingers. Head in profile with large mouth with few triangular teeth. Round eye. Nose with projections up and down. Head with fore and aft projections. Great crest or horn projecting up from head with four hooks, like great claw with three fingers and one thumb.",Gold,Disc,Mousterian,Panama | Sitio Conte,American
3089,40-13-80A,images/40-13-80A.jpg,Central American,Cocle,four,With green stone shafts and gold ends and tip.,Gold,Ear Rod,Geometric Period,Panama | Sitio Conte,American
3090,40-13-80B,images/40-13-80B.jpg,Central American,Cocle,four,With green stone shafts and gold ends and tip.,Gold,Ear Rod Cap,Geometric Period,Panama | Sitio Conte,American
3091,40-13-81,images/40-13-81.jpg,Central American,Cocle,four,Gold shaft and tip.,Gold,Ear Rod Cap,Geometric Period,Panama | Sitio Conte,American
3092,40-13-83,images/40-13-83.jpg,Central American,Cocle,four,No description available,Gold,Ear Rod Cap,Geometric Period,Panama | Sitio Conte,American
3093,40-13-84,images/40-13-84.jpg,Central American,Cocle,four,No description available,Gold,Ear Rod Cap,Geometric Period,Panama | Sitio Conte,American
3094,40-13-85,images/40-13-85.jpg,Central American,Cocle,four,No description available,Gold,Ear Rod Cap,Geometric Period,Panama | Sitio Conte,American
3095,40-13-87,images/40-13-87.jpg,Central American,Cocle,four,No description available,Gold,Ear Rod Cap,Geometric Period,Panama | Sitio Conte,American
3096,40-13-9,images/40-13-9.jpg,Central American,Cocle,Two,"Small, thin, rather like 40-13-2. Same two anthropomorphic figures. Bodies similar, human, with same pendant back ornament attached to waistband. Four claws on each foot instead of five. Symmetrical. Each holds long object in one hand, which are not quite identical. Heads different from 40-13-2, Great upcurving mouth full of triangular teeth. Long crest or headdress similar to 40-13-2. Two pair vertical suspension holes.",Gold,Disc,Birnirk,Panama | Sitio Conte,American
3097,40-13-90,images/40-13-90.jpg,Central American,Cocle,four,Ornamental,Gold,Ear Rod Cap,Geometric Period,Panama | Sitio Conte,American
3098,40-13-91,images/40-13-91.jpg,Central American,Cocle,four,Ornamental,Gold,Ear Rod Cap,Geometric Period,Panama | Sitio Conte,American
3099,40-13-92,images/40-13-92.jpg,Central American,Cocle,four,Ornamental,Gold,Ear Rod Cap,Geometric Period,Panama | Sitio Conte,American
3100,40-13-93,images/40-13-93.jpg,Central American,Cocle,four,No description available,Gold,Cuff,Geometric Period,Panama | Sitio Conte,American
3101,40-13-94,images/40-13-94.jpg,Central American,Cocle,450CE - 900 CE,No description available,Gold,Nose Clip,Geometric Period,Panama | Sitio Conte,American
3102,40-13-95,images/40-13-95.jpg,Central American,Cocle,four,Of gold alloy.,Gold,Nose Clip,Geometric Period,Panama | Sitio Conte,American
3103,40-13-96,images/40-13-96.jpg,Central American,Cocle,four,Ornate; fine work.,Gold,Nose Clip,Geometric Period,Panama | Sitio Conte,American
3104,40-13-97,images/40-13-97.jpg,Central American,Cocle,four,Conical; slotted.,Gold,Nose Clip,Geometric Period,Panama | Sitio Conte,American
3105,40-13-98.1,images/40-13-98.1.jpg,Central American,Cocle,four,Small,Gold,Bead,Geometric Period,Panama | Sitio Conte,American
3109,40-14-683,images/40-14-683.jpg,Central American,Cocle,1200-1399 CE,Winged,Amber,Ornament,13th Century | 14th Century,Panama | Sitio Conte,American
3110,40-16-1712,images/40-16-1712.jpg,Central American,Cocle,700-900 CE,Painted plate with a stylized supernatural creature,Ceramic,Plate,Geometric Period,Panama | Sitio Conte,American
3111,40-18-12,images/40-18-12.jpg,Southwest Culture Area,Pueblo | Laguna,1880-1890,"Polychrome; floral designs. Pottery. Red bottom and interior of neck. Slip, white. Decoration, birds and flowers in red and black.",Clay,Olla,Historic,New Mexico | Laguna,American
3112,40-18-13,images/40-18-13.jpg,Southeast Culture Area,Catawba (culture),one,"Pottery. Red ware, polished. Flat bottom, convex side, everted lip, wide mouth.",Ceramic,Jar,Mousterian,United States of America | South Carolina,American
3113,40-18-7,images/40-18-7.jpg,Southwest Culture Area,Pueblo,nine,"Polychrome; Flat. Slip, greyish white over entire surface. Design on interior, nine scallops with pendant divergent lines and circles in brown.",Clay,Bowl,Proto-Nasca | Epigonal,New Mexico,American
3114,40-18-8,images/40-18-8.jpg,Southwest Culture Area,Pueblo | Santa Ana Pueblo (uncertain),three,"Polychrome; geometric designs. Pottery. Red bottom; red and black on white slip both inside and outside. Interior with three repeats of a peculiar ""key"" pattern; exterior with band of jagged diamonds enclosing a cross. Interior base socketed.",Clay,Bowl,Bronze Age,New Mexico | Santa Ana Pueblo (uncertain),American
3115,40-18-9,images/40-18-9.jpg,Southwest Culture Area,Pueblo | Zuni,Three,"Dipper; Rim Expanding. Pottery. Rim expanding. Design on interior, typical crooks and hatched triangles in brown. Horizontal loop handle.",Clay,Dipper,Achaemenid,New Mexico,American
3116,40-23-4,images/40-23-4.jpg,Central American,Cocle,two,Animal Figurine. Double-headed turtle [?]. Flat legs and tail. Convex body; two small heads in high relief. Medium thick metal; gold surface eroded in places. Parts of legs and tail missing; 1 head separated.,Gold,Figurine,Roman Period,Panama | Veraguas | Sona,American
3121,40-33-41,images/40-33-41.jpg,Great Plains Culture Area,Arapaho,half,"Saddle leather, with long cut leather fringe. Face solidly beaded with design of diamonds and half diamonds, made up of red, dark blue and yellow rectangles on white ground. Beaded band on reverse and along curve of flap edge.",Saddle Leather | Bead | Metal,Pouch,Cypro-Geometric IA,United States of America,American
3127,40-8-2,images/40-8-2.jpg,Great Plains Culture Area,Sioux (uncertain),Three,Red stroud case with four bars of deer hide. Eighty-two cut plumes along the case and held together by a thong. Three long eagle plumes attached by buckskin thongs. A stroud streamer bearing rows of shorter feathers thirteen inches below end of case which has a bunch of many feathers tied to it.,Stroud | Deer Hide | Feather | Skin,Lance Cover,Achaemenid,United States of America,American
3130,40201B,images/40201B.jpg,Southeast Culture Area,Calusa,700-1560 CE,Tooth hachured pestle.,Wood,Pestle,Roman Period,United States of America | Florida | Collier County | Marco Island | Key Marco,American
3131,40210,images/40210.jpg,Southeast Culture Area,Calusa,700-1560 CE,"Tall trebly incised cup or vase. Cypress, highly but roughly finished, perfect; found with Medicine Man's outfit and probably used for black drink.",Cypress Wood,Cup,Roman Period,United States of America | Florida | Collier County | Marco Island | Key Marco,American
3132,40418B,images/40418B.jpg,Southeast Culture Area,Calusa,700-1560 CE,"Plain crozier shaped adze handles and deer horn sockets. Large, finely polished and formed; of hard Redwood; sock long and use worn.",Wood | Bone,Tool,Roman Period,United States of America | Florida | Collier County | Marco Island | Key Marco,American
3133,40440,images/40440.jpg,Southeast Culture Area,Calusa,700-1560 CE,Handles of knives. Buckhorn and plain. One is tip-shaped to represent tail of rattlesnake. The other is plain; end of tip broken off.,Antler (uncertain),Knife Handle,Roman Period,United States of America | Florida | Southwest Coast (Florida) | Key Marco | Collier County,American
3134,40527,images/40527.jpg,Southeast Culture Area,Calusa,700-1560 CE,"Small shapely toy canoe. Flat bottomed, oval sided; with projection at top and end of stern; such as to facilitate paddle skulling.",Wood,Canoe Model,Roman Period,United States of America | Florida | Collier County | Marco Island | Key Marco,American
3135,40700E,images/40700E.jpg,Southeast Culture Area,Calusa,700-1560 CE,"E= PR Shoulder Attachment. Spiritedly carved figure head of wolf with ear and shoulder attachments. For use in dramatic dance ceremonials. Features and face marks painted in white, black and pink. Found bundled and swathed in green palmetto strips.",Wood | Pigment,Figure Fragment,Roman Period,United States of America | Florida | Southwest Coast (Florida) | Collier County | Key Marco,American
